AAB	Abelag Aviation - Belgium	ABG
SHU	Aurora Airlines - Russian Federation	Aurora
SHV	Shavano Air, Inc. (Poncha Springs, CO) - United States	Shavano
SHW	KN Helicopters A/S - Denmark	Shadow
SHX	Slim Aviation Services Limited - Nigeria	Slim Air
SHZ	Airshares Elite (Atlanta, GA) - United States	Elite Shares
SIA	Singapore Airlines Limited - Singapore	Singapore
SIB	Sea Air Ltd. - Slovenia	Sea Air
SIC	SFS Aviation Co., Ltd - Thailand	Sichart
SID	Sideral Linhas Aereas Ltda. - Brazil	Sideral
SIE	Sierra Express (Reno, NV) - United States	Serex
SIF	Air Sial Ltd - Pakistan	Air Sial
SIL	Silver Airways Corp. (Fort Lauderdale, FL) - United States	Silver Wings
SIO	Sirio S.p.A. - Italy	Sirio
SIQ	Atmospheric Research Boulder - United States	Science Quest
SIR	Salair, Inc. (Seattle, WA) - United States	Salair
SIS	Scott Aviation, LLC (Fresno, CA) - United States	Silverspeed
SIV	Solenta Aviation - CI - Côte d'Ivoire	Solent-Ivoire
SIX	Sixt Renta Car, LLC - United States	Drive Orange
SIY	Executive Aviation Corporation - United States	Serenity
SIZ	Aero Silza, S.A. de C.V. - Mexico	Aerosilza
SJA	Sawyer Aviation, LLC - United States	Sawyer
SJB	Sks Airways - Malaysia	Southern Tiger
SJC	Servicios Ejecutivos Continental, S.A. de C.V. - Mexico	Serviejecutivo
SJE	Sun Air Jets (McClellan, CA) - United States	Sun Journey
SJF	Fly Skyjet - Niger	Harmattan
SJJ	Spirit Aviation, Inc. (Van Nuys, CA) - United States	Spirit Jet
SJK	Nusantara Air Charter, Pt. - Indonesia	Nusantara
SJM	Sino Jet Management Ltd - China	Sino Sky
SJN	Chartair, Inc. D/B/A Air San Juan (Friday Harbor, WA) - United States	San Juan
SJO	Spring Airlines Japan Co., Ltd. - Japan	Jey Spring
SJS	Skyjets & Support, S.A. de C.V. - Mexico	Jet Port
SJT	Swiss Jet Ltd - Switzerland	Swiss Jet
SJV	Pt. Super Air Jet - India	Prosper
SJX	Starlux Airlines Co., Ltd - China	Starwalker
SJY	Sriwijaya Air, Pt. - Indonesia	Sriwijaya
SKA	Premier Aviation Group Ltd D/B/A Skylan Airways - Jamaica	Skylan Airways
SKB	Skybus Airlines, Inc. (Columbus, OH) - United States	Skybus
SKC	Skymaster Air Lines Ltda - Brazil	Skymaster Air
SKD	Sky Harbor Air Service, Inc. (Omaha, NE) - United States	Sky Dawg
SKE	Sky Tours, Inc. (Port Clinton, OH) - United States	Skyisle
SKF	Skycraft, Inc. (Seattle, WA) - United States	Skycraft
SKG	Sky Gabon - Gabon	Sky Gabon
SKH	British Sky Broadcasting Ltd - United Kingdom	Skynews
SKI	Skyking Ltd - United Kingdom	Skyking
SKJ	Sky Net Airline - Armenia	Skynet Air
SKK	Asky - Togo	Asky Airline
SKL	Skycharter (Malton) Limited - Canada	Skycharter
SKM	Fayetteville Flying Service and Scheduled Skyways System (Fayetteville, AR) - United States	Skytem
SKN	Skyline Aviation Services, Inc. (Beaver Falls, PA) - United States	Skyliner
SKO	Scottish Airways Flyers Ltd - United Kingdom	Skywork
SKP	Skytrans Airlines - Australia	Skytrans
SKQ	Labcorp, Inc. (Burlington, NC) - United States	Skylab
SKR	Skyscapes Air Charters - South Africa	Skyscapes
SKT	Charter Air Transportation Services Inc. D/B/A Cats - Canada	Skycat
SKU	Sky Service - Chile	Aerosky
SKV	Sky Regional Airlines Inc. - Canada	Maple
SKW	Sky West Aviation, Inc. (St. George, UT) - United States	Skywest
SKX	Sky Airline Peru S.A.C. - Peru	Sky Peru
SKY	Skymark Airlines Inc. - Japan	Skymark
SKZ	Skyway Enterprises, Inc. (Kissimmee, FL) - United States	Skyway-Inc
SLB	Slok Air Limited - Nigeria	Slok Air
SLC	Services Aeriens Latino-Americains D/B/A Salsa S.A. - Haiti	Salsa
SLD	Silver Air Ltd - Czech Republic	Silverline
SLE	Streamline Nac - South Africa	Slipstream
SLG	Saskatchewan Government Air Ambulance Service - Canada	Lifeguard
SLH	Silverhawk Aviation, Inc. (Seward, NE) - United States	Silverhawk
SLI	Aerolitoral, S.A. de C.V. - Mexico	Costera
SLJ	Slam Lavori Aerei S.r.l. - Italy	Slamair
SLK	Silkair (Singapore) Pte Ltd - Singapore	Silkair
SLM	Surinaamse Luchtvaart Maatschappij N.V. - Suriname	Surinam
SLN	Sloane Helicopters - United Kingdom	Sloane
SLO	Edgartown Air, Inc. (Edgartown, MA) - United States	Slow
SLP	Salpa Aviation Co. Ltd. (Sudan) - Sudan	Salpa
SLQ	Skylink Express Inc - Canada	Skylink
SLR	Silvestone Air Services Ltd - Kenya	Silverstone
SLT	Starlight Airline STP, S.A. - Sao Tome and Principe	Starlight Cargo
SLU	Avio Sluzba - Serbia	Avio Sluzba
SLV	Stella Aviation - Mauritania	Avistella
SLW	Salama Airlines Nigeria Limited - Nigeria	Salma Air
SLX	Sete Linhas Aereas Ltda. - Brazil	Sete
SLY	Sky Line for Air Services Ltd - Sudan	Skyco
SLZ	Super Luza - Angola	Luza
SMA	Sma Airlines Nig. Limited - Nigeria	Sesame
SMC	Comlux San Marino - San Marino	Comlux
SMD	SMjet S.r.l. - San Marino	Skymap
SMF	San Marino Executive Aviation S.r.l. - San Marino	Smea
SMH	Smithair, Inc. (Atlanta, GA) - United States	Smithair
SMI	Aero Sami, S.A. de C.V. - Mexico	Sami
SMJ	Avient Aviation - Zimbabwe	Avavia
SML	Skyline Aviation Srl - San Marino	Skyline
SMM	Summit Airlines (Philadelphia, PA) - United States	Summit-Air
SMN	Simargl Ltd, Aircompany - Russian Federation	Simavia
SMO	Servicios Aereos Automotriz, S.A. de C.V. - Mexico	Serviautomotriz
SMP	Prima Aviation S.r.l. - San Marino	Prima Aviation
SMQ	Samar Air - Tajikistan	Samar Air
SMR	Somon Air - Tajikistan	Somon Air
SMS	Linhas Aereas Santomenses - Sao Tome and Principe	Santomenses
SMT	Skyline Ltd - Nigeria	Skylimit
SMU	Sanborn Map Company (Colorado Springs, CO) - United States	Springer
SMX	Swanton Morley (RAF) - United Kingdom	Swanton
SMY	SMM Flight Services S.A. de C.V. - Mexico	Cabo Cacti
SMZ	RAF Scampton - United Kingdom	Scampton
SNA	Logic Paq Btd, S.L.R. - Dominican Republic	Cana
SNB	Sterling Air A/S - Denmark	Sterling
SNC	Air Cargo Carriers, Inc. (Milwaukee, WI) - United States	Night Cargo
SND	Skytraders Pty Ltd - Australia	Snowbird
SNF	Sunair - Israel	Matzada
SNG	Longjiang Airlines Co., Ltd - China	Snow Eagle
SNI	Savanah Airlines Limited - Nigeria	Savanahline
SNJ	Solaseed Air Inc. - Japan	Newsky
SNK	Sun Jet International, Inc. D/B/A Southeast Airlines (Largo, FL) - United States	Sun King
SNL	Soonair Lines, Inc. (Tulsa, OK) - United States	Soonair
SNM	Servizi Aerei SpA - Italy	Servizi Aerei
SNO	Soni Aviones, S.A. de C.V. - Mexico	Sonavi
SNP	Sun Pacific International, Inc. (Tucson, AZ) - United States	Sun Pacific
SNQ	Sun Quest Executive Air Charter, Inc. (Pacoima, CA) - United States	Execu-Quest
SNR	Sun Air Co. - Sudan	Sun Group
SNT	Suncoast Aviation, Inc. (Clearwater, FL) - United States	Suncoast
SNV	Sudanese States Aviation Co. Ltd - Sudan	Sudanese
SNW	Sun West Airlines (Scottsdale, AZ) - United States	Sun West
SOA	Southern Air Charter - Bahamas	South Aircharter
SOB	Stabo Freight Limited - Zambia	Stabo
SOC	Serviaereo, S.A. de C.V. - Mexico	Serviaereo
SOD	Aerolineas Sol, S.A. de C.V. - Mexico	Alsol
SOE	Air Soleil, Societe - Mauritania	Air Soleil
SOF	Sol Air - Zimbabwe	Sky Comfort
SOH	Southern Ohio Aviation Sales Co. (W. Carrollton, OH) - United States	Southern Ohio
SOK	S.A.C. Industries, LLC (Bozeman, MT) - United States	Snow Ski
SOL	Solomon Airlines Limited - Solomon Islands	Solomon
SOM	Aero Salmon, S.A. de C.V. - Mexico	Aero-Sal
SON	Acass Ireland Ltd. - Ireland	Sonas
SOO	Southern Air, Inc. (Columbus, OH) - United States	Southern Air
SOP	Solinair Ltd - Slovenia	Solinair
SOR	Sonair Servico Aereo, Sarl - Angola	Sonair
SOT	Southeast Correct Craft, Inc. (Orlando, FL) - United States	South Courier
SOU	South Pacific Airlines - China	Paradise
SOW	Pink Sparrow GmbH - Austria	Sparrow
SOY	Island Aviation, Inc. - Philippines	Soriano
SPA	Sierra Pacific Airlines (Tucson, AZ) - United States	Sierra Pacific
SPB	Springbok Classic Air - South Africa	Spring Classic
SPC	Skyworld Airlines (Denver, CO) - United States	Port
SPD	Sky Prime Charter - Saudi Arabia	Sky Prime
SPE	Sprague Electric Co. (North Adams, MA) - United States	Sprague
SPF	Space World Airline - Nigeria	Space World
SPG	Speedwings Executive Jet GmbH - Austria	Speedwing
SPH	Sapphire Executive Air - South Africa	Sapphire-Charter
SPI	South Pacific Island Airways, Inc. - United States	South Pacific
SPJ	Spectrum Aviation - United Kingdom	Spectrum
SPK	Solstas Lab Partners (Greensboro, NC) - United States	Solstas Lab
SPL	Servicios Corporativos Aereos de La Laguna, S.A. de C.V. - Mexico	Corporativos Laguna
SPN	Hesa Airlines - Iran (Islamic Republic of)	Sepahan
SPO	Sporavia S.L. - Spain	Sporavia
SPP	Sapphire Aviation, Inc. (West Palm Beach, FL) - United States	Sapphire
SPR	Pal Aerospace Ltd - Canada	Speedair
SPS	Spasa (Servicios Politecnicos Aereos, S.A.) - Spain	Salduero
SPT	Servicio Superior Ejecutivo S.A. de C.V. - Mexico	Servicios Sup
SPU	Southeast Airmotive Corp. (Charlotte, NC) - United States	Sputter
SPV	Servicios Privados de Aviacion, S.A. de C.V. - Mexico	Servicios Privados
SPW	Royal Spirit Airways - Cambodia	Royal Spirit
SPY	Asian Aerospace Service Ltd - Thailand	Thai Space
SPZ	Airworld (Pty) Ltd - South Africa	Speed Service
SQA	Slovak National Aeroclub - Slovakia	Slovak Aeroclub
SQD	Tomorrow S Aeronautical Museum, Inc. (Compton, CA) - United States	Aero Squad
SQF	Slovak Air Force - Slovakia	Slovak Airforce
SQH	Seaport Airlines, Inc. (Portland, OR) - United States	Sasquatch
SQM	Siam Air Transport Co., Ltd - Thailand	Golden Fin
SQP	Skyup Airlines - Ukraine	Skyup
SQS	Asi Pudjiastuti Aviation, Pt - Indonesia	Sky Queen
SQU	Aerospatialle - United States	Remudo
SRB	Serbian Air Force - Serbia	Serbian Air Force
SRC	Searca Ltda. - Colombia	Searca
SRE	Serami, C.A. - Venezuela (Bolivarian Republic of)	Serami
SRF	Transportes Aereos San Rafael Ltda. - Chile	San Rafael
SRH	Siem Reap Airways International - Cambodia	Siemreap Air
SRI	Air Safaris and Services (NZ) Ltd - New Zealand	Airsafari
SRJ	Surijet.com Inc. - Suriname	Surijet
SRL	Servicios Aeronauticos Aero Personal, S.A. de C.V. - Mexico	Servicios Personal
SRM	Stars de Mexico, S.A. de C.V. - Mexico	Tarmex
SRN	Sprintair SA - Poland	Sprintair
SRO	Servicios Aereos Ejecutivos Saereo S.A. - Ecuador	Saereo
SRP	Polizeihubschrauberstaffel Rheinland-Pfalz, Winningen - Germany	Sperber
SRQ	Cebgo, Inc. DBA Cebgo - Philippines	Blue Jay 
SRR	Star Air A/S - Denmark	Whitestar
SRS	Southern Sky - Kazakhstan	Sky South
SRT	Servicios Aereos Surtep, S.A. de C.V. - Mexico	Surtep
SRU	Star Up S.A. - Peru	Star-Up
SRV	Aero Servicio Corporativo, S.A. de C.V. - Mexico	Servicorp
SRW	Sarit Airlines - Sudan	Saria
SRX	Sierra Expressway Airlines (Oakland, CA) - United States	Sierra Ex
SRY	Via Airlines - United States	Stingray
SRZ	Strato Air Services - South Africa	Strato
SSA	Sky Service Aviation, S.L. - Spain	Star-Jet
SSB	Suasa Airlines Sdn Bhd - Malaysia	Suasa Air
SSC	Southern Seaplane, Inc. (Belle Chasse, LA) - United States	Southern Skies
SSF	Severstal, Ltd Aircompany - Russian Federation	Severstal
SSG	Slovak Government Flight Service - Slovakia	Slovak Government
SSH	Heritage Aviation, Inc. D/B/A Heritage Flight, LLC (S. Burlington, VT) - United States	Snowshoe
SSI	Vision Airlines Ltd - Nigeria	Super Jet
SSJ	Krasavia, Joint-Stock Company - Russian Federation	Siberian Sky
SSK	Skystar International, Inc. (Washington, NJ) - United States	Skystar
SSM	Sociedad de Salvamento y Seguridad Maritima - Spain	Sasemar
SSN	Setouchi Seaplanes Inc. - Japan	Setouchi
SSO	S&S Orinoco Aviation C.A. - Venezuela (Bolivarian Republic of)	Orinoco
SSP	Starspeed Ltd - United Kingdom	Starspeed
SSQ	Sunstate Airlines (Qld) Pty - Australia	Sunstate
SSR	Sardinian Sky Service S.r.l. - Italy	Sardinian
SSS	Compania de Servicios Aereos, S.A. (SAESA) - Spain	Saesa
SST	Royal Canadian Mounted Police (RCMP) - Canada	Stetson
SSU	Servicios Aereos Sucre C.A. (SASCA) - Venezuela (Bolivarian Republic of)	Sasca
SSX	Lynx Aviation, Inc. (Westminster, CO) - United States	Shasta
SSZ	Specsavers Aviation Ltd - United Kingdom	Specsavers
STA	D.O. Systems Ltd - United Kingdom	Star
STE	Fly Famg T/A Agulhas 360 - South Africa	Steamline
STG	Sedalia, Marshall, Boonville Stage Line, Inc. (Des Moines, IA) - United States	Stage
STI	Sontair Ltd - Canada	Sontair
STJ	Emper General Aviation (Suzhou) Co., Ltd. - China	Kingsman
STK	Stobart Air - Ireland	Stobart Air
STL	Stapleford Flight Centre - United Kingdom	Stapleford
STN	St. Athan Mu - United Kingdom	Saint Athan
STO	Streamline Ops, CJSC - Russian Federation	Slops
STP	STP Airways - Sao Tome and Principe	Saotome Airways
STQ	Starwings Dortmund Luftfahrtgesellschaft mbH, Dortmund - Germany	Startrek
STR	Sterna Linhas Areas Ltda. - Brazil	Sterna
STT	Western Aircraft, Inc. - United States	Sawtooth
STV	Saturn Aviation - United States	Saturn
STX	Stars Away Aviation - South Africa	Starsaway
STY	Altius Aviation, LLC (Altus, OK) - United States	Altair
STZ	Biz Africa 1019 CC T/A Studio 88 Aviation - South Africa	Studio
SUA	Silesia Air J.S.C. - Czech Republic	Air Silesia
SUB	Suburban Air Freight, Inc. (Omaha, NE) - United States	Sub Air
SUD	Sudan Airways - Sudan	Sudanair
SUF	Sunflower Airlines Limited - Fiji	Sunflower
SUG	Sunu Air - Senegal	Sunu Air
SUI	Swiss Air Force - Switzerland	Swiss Air Force
SUK	Superior Aviation Services Ltd - Kenya	Skycargo
SUL	America Do Sul Linhas Aereas Ltda. - Brazil	Astair
SUM	Federal State Budget Institution Aviation Rescue Company of Emercom of Russia - Russian Federation	Sumes
SUP	Aeronautical Charters Inc. - United States	Sun Speed
SUQ	Superior Air S.A. - Greece	Superior
SUS	Sun-Air of Scandinavia A/S - Denmark	Sunscan
SUU	Star West Aviation (Evanston, WY) - United States	Sunstar
SUV	Sundance Air S.A. - Venezuela (Bolivarian Republic of)	Danceair
SUY	Aerial Surveys (1980) Ltd - New Zealand	Survey
SVA	Saudi Arabian Airlines - Saudi Arabia	Saudia
SVB	Siavia, D.O.O. - Slovenia	Siavia
SVD	St. Vincent Grenadines Air (1990) Limited - Saint Vincent and the Grenadines	Grenadines
SVE	Aero Servicios Especializados, S.A. de C.V. - Mexico	Aeroespecial
SVF	Swedish Armed Forces - Sweden	Swedeforce
SVG	Solenta Aviation Gabon - Gabon	Solavia
SVL	Alante Air Charter, LLC - United States	Sun Devil
SVN	Savanair (Angola) Lda. - Angola	Savanair
SVP	Star Aviation Pvt. Ltd - India	Star India
SVR	Ural Airlines - Russian Federation	Sverdlovsk Air
SVV	Salt Aviation Sp. z.o.o. - Poland	Saltaviation
SVW	Global Jet Luxembourg S.A. - Luxembourg	Silver Arrows
SVX	Security Aviation, Inc. (Anchorage, AK) - United States	Security Air
SVZ	Servicios Ejecutivos Aereos Viz, S.A. de C.V. - Mexico	Servicios Viz
SWA	Southwest Airlines Co. (San Antonio, TX) - United States	Southwest
SWB	Swissboogie Parapro SA - Switzerland	Swissboogie
SWC	Heliair Sweden AB - Sweden	Swedcopter
SWD	Trifly, LLC (Minneapolis, MN) - United States	Sawblade
SWF	Galair International Limited - United Kingdom	Galair
SWG	Sunwing Airlines Inc. - Canada	Sunwing
SWH	Adler Aviation Ltd - Canada	Shockwave
SWI	Sunworld International Airways, Inc. (Las Vegas, NV) - United States	Sunworld
SWK	Suwaiket Aviation - United Arab Emirates	Zagel
SWM	Skywings Asia Airlines - Cambodia	Sky Angkor
SWN	West Atlantic Sweden AB - Sweden	Air Sweden
SWO	Surinam International Victory Airline N.V. - Suriname	Siva
SWP	Star Work Sky - Italy	Star Work
SWQ	Interstate Equipment Leasing, Inc. D/B/A Swift Air (Phoenix, AZ) - United States	Swiftflight
SWR	Swiss International Air Lines Ltd - Switzerland	Swiss
SWS	Lindquist Investment Co., Ltd. D/B/A Sunwest  Aviation (Ogden, UT) - United States	Sunny West
SWT	Swiftair S.A. - Spain	Swift
SWV	Svensk Luftambulans - Sweden	Swedemed
SWZ	Cabolar (Pty) Ltd T/A Skywise - South Africa	Skywise
SXA	Southern Cross Aviation, Inc. (Camarillo, CA) - United States	Ferry
SXC	Sky Exec Aviation Services - Nigeria	Sky Exec
SXD	Sunexpress Deutschland GmbH, Frankfurt (Main) - Germany	Sunrise
SXF	Southern Cross Aviation Inc., LLC - United States	Southern Flight
SXI	Southern Cross International - Netherlands	Southern Cross
SXJ	Shanxi Shenfei Jet Co. Ltd. - China	Big Wing
SXL	Cornerstone Aviation, LLC. D/B/A Skyline Flight (Stow, MA) - United States	Sonic
SXM	St. Maarten Airways - Netherlands	Saint Maarten
SXN	Saxon Air - United Kingdom	Saxonair
SXP	South Pacific Express Holdings Limited - Samoa	Southpac Express
SXT	Servicios de Taxi Aereos, S.A. de C.V. - Mexico	Sertaxi
SXY	Safari Express Cargo Limited - Kenya	Safari Express
SXZ	Great Circle Aviation, LLC (San Marcos, CA) - United States	Socalair
SYA	Syphaxair - Tunisia	Syphaxair
SYB	Skyservice Business Aviation Inc. - Canada	Skybiz
SYC	Systec 2000, Inc (Waterford, MI) - United States	Systec
SYD	Flying Ambulance (Pty) Ltd T/A Aerocare - South Africa	Skydoctor
SYF	Sky One Express Airlines Inc. (Reistertown, MD) - United States	Sky First
SYG	Synergy Aviation Ltd - United Kingdom	Synergy
SYK	J and A Properties D/B/A Satsair, Inc. (Greenville, SC) - United States	Aerocab
SYL	Aircompany Yakutia, Joint-Stock Company - Russian Federation	Air Yakutia
SYM	Sky Services Malta Ltd - Malta	Volo Sky
SYN	Syncrude Canada Ltd - Canada	Syncrude
SYO	Syerston FTU - United Kingdom	Syerston
SYP	Synesis Aviation - Cyprus	Synesis
SYR	Syrian Arab Airlines - Syrian Arab Republic	Syrianair
SYS	Shawbury FTU - United Kingdom	Shawbury
SYT	Aerosud Aviation - South Africa	Skytrack
SYU	Sky Unlimited - Netherlands	Sky Unlimited
SYV	Special Aviation Systems, Inc. (Leipsic, OH) - United States	Special System
SYY	South African Historic Flight - South Africa	Sky Coach
SYZ	Zil Air Pty Ltd - Seychelles	Zil Air
SZA	Astro Air Co., Ltd - China	Air Astro
SZG	Shtotz Agro Service - Belarus	Stotz Agro
SZN	Air Senegal SA - Senegal	Sensa
SZS	Scandinavian Airlines Ireland Limited - Ireland	Spinnaker
SZT	Servicios Aeronauticos Z, S.A. de C.V. - Mexico	Aero Zee
TAA	Aeroservicios de La Costa, S.A. de C.V. - Mexico	Aero Costa
TAB	Transportes Aeronauticos del Bajio, S.A. de C.V. - Mexico	Trans-Bajio
TAC	Thai Aviation Academy - Thailand	Taurus
TAE	Transportes Aereos Militares Ecuatorianos C.A. (TAME) - Ecuador	Tame
TAG	Tag Aviation San Marino S.r.l. - San Marino	Tagspirit
TAI	Taca International Airlines S.A. - El Salvador	Taca
TAJ	Tunisavia - Societe de Transports, Services et Travaux Aeriens - Tunisia	Tunisavia
TAK	Transafrican Air Limited - Kenya	Transafrican
TAL	Talair Pty. Ltd. - Papua New Guinea	Talair
TAM	TAM - Linhas Aereas S.A. - Brazil	Tam
TAN	Zanair Limited - United Republic of Tanzania	Zanair
TAO	Transportes Aeromar - Mexico	Trans-Aeromar
TAP	Transportes Aereos Portugueses, E.P. - Portugal	Air Portugal
TAR	Tunis Air - Societe Tunisienne de l'Air - Tunisia	Tunair
TAS	Lotus Airline - Egypt	Lotus Flower
TAU	Transportes Aereos Tauro, S.A. de C.V. - Mexico	Transtauro
TAV	Compania de Servicios Aereos Tavisa - Spain	Tavisa
TAX	Thai Airasia X Co., Ltd - Thailand	Express Wing
TAY	ASL Airlines Belgium - Belgium	Quality
TBA	Tibet Airlines Co., Ltd - China	Tibet
TBI	Tab Express International (Deland, FL) - United States	Tab International
TBJ	Tag Aviation Asia Limited - China	Tag Jet
TBM	Taban Air Lines - Iran (Islamic Republic of)	Taban
TBO	RWS Aviation, LLC - United States	Cartillion
TBS	Timbis Air Services - Kenya	Timbis
TBZ	Ata Airlines - Iran (Islamic Republic of)	Atalar Air
TCA	Tradecraft Nigeria Ltd - Nigeria	Tradecraft
TCB	Transporte Aereo de Colombia - Colombia	Aereo Colombia
TCC	Trans Continental Airlines - Sudan	Transcal
TCE	Trans-Colorado Airlines, Inc. (Gunnison, CO) - United States	Trans-Colorado
TCG	Transafricaine Air Cargo - Burkina Faso	Africargo
TCH	Transcontinental Air Wll - Bahrain	Trans Gulf
TCI	Amber Aviation Limited - China	Amber
TCK	Trans Caravan Kg - Kyrgyzstan	Trans Caravan
TCL	Escape Aviation D/B/A Coastal Air Transport (Fairhope, AL) - United States	Trans Coastal
TCM	Teledyne Continental Motors (Muskegon, MI) - United States	Teledyn
TCO	Aerotranscolombiana de Carga Ltda. - Colombia	Transcolombia
TCP	Transcorp Airways - United Kingdom	Transcorp
TCR	Laneas Aereas Trans Costa Rica S.A. - Costa Rica	Ticos
TCS	ATS, Private Company - Ukraine	Techservice
TCT	Transcontinental Sur S.r.l. - Uruguay	Trans-Cont
TCV	Transportes Aereos de Cabo Verde - TACV - Cabo Verde	Caboverde
TCW	VLM Airlines N.V. - Belgium	Phoenix
TCX	Thomas Cook Airlines Ltd - United Kingdom	Thomas Cook
TCY	Twin Cities Air Service, Inc. (Auburn, ME) - United States	Twin City
TDA	Trend Aviation, LLC (Orlando, FL) - United States	Trend Air
TDB	Welch Aviation, Inc. (Alpena, MI) - United States	Thunder Bay
TDC	Tadair, S.A. - Spain	Tadair
TDE	Telavia D/B/A Flight One, Inc. (Telluride, CO) - United States	Telluride
TDG	Air Cargo Express, Inc. (Little Rock, AR) - United States	Turbo Dog
TDR	Trade Air - Croatia	Tradeair
TDS	Tsaradia - Madagascar	Tsaradia
TDT	Atlas Helicopters Ltd - United Kingdom	Trident
TEA	Executive Turbine Aviation (Pty) Ltd - South Africa	Travelmax
TEC	ADI Shuttle Group, LLC (Mather, CA) - United States	Techjet
TED	Aero Servicios Azteca, S.A. de C.V. - Mexico	Aeroazteca
TEE	West Freugh Dteo - United Kingdom	Teebird
TEF	Tecnicas Fotograficas, S.L. - Spain	Tecfoto
TEG	Aeroservicios de Tlaltenango, S.A. de C.V. - Mexico	Servitlal
TEK	Aero-Tech Services - United States	Atech
TEL	Telford Aviation, Inc. (Waterville, ME) - United States	Telford
TEN	Tennessee Airways (Alcoa, TN) - United States	Tennessee
TEO	Transaereo 5074, C.A. - Venezuela (Bolivarian Republic of)	Transaereo
TEP	Transportes Ejecutivos Piza, S.A. de R.L. - Mexico	Transportes Piza
TER	Territorial Airlines, Inc. (Santa Fe, NM) - United States	Terri-Aire
TES	Taespejo Portugal, Lda - Portugal	Tesaban
TEU	Tag Aviation (Malta) Ltd - Malta	Tag Malta
TEW	Airteam Charter (Pty) Ltd - South Africa	Teamwork
TEZ	Tez Jet Airlines - Kyrgyzstan	Tezjet
TFA	Trans-Florida Airlines (Daytona Beach, FL) - United States	Trans Florida
TFF	Talon Air, Inc. (Farmingdale, NY) - United States	Talon Flight
TFG	Bluestream Aviation Ltd - United Kingdom	Trafalgar
TFL	Tui Airlines Nederland - Netherlands	Orange
TFR	Air Freight NZ Ltd - New Zealand	Toll Freight
TFS	Tff GmbH, Osnabrueck - Germany	Campus
TFT	Thai Flying Service Co. Ltd - Thailand	Thai Flying
TFX	Toll Aviation Pty Ltd - Australia	Toll Express
TFY	Tayside Aviation Ltd - United Kingdom	Tayside
TGA	Aviashelf - Russian Federation	Taiga
TGC	TG Aviation Ltd - United Kingdom	Thanet
TGE	Trabajos Aereos S.A. - Spain	Tasa
TGG	Tiger Airways Australia Pty Ltd - Australia	Tiggoz
TGM	Tag Aviation Espana, S.A. - Spain	Tag Espana
TGN	Trigana Air Service, Pt. - Indonesia	Trigana
TGO	Canada - Transport Canada - Canada	Transport
TGP	Tropicana Airlines - Ghana	Tropicana
TGT	Saab AB - Sweden	Target
TGU	Transportes Aereos Guatemaltecos - Guatemala	Chapin
TGW	Scoot Tigerair Pte. Ltd. - Singapore	Scooter
TGX	Transair Gabon - Gabon	Transgabon
TGY	Trans Guyana Airways - Guyana	Trans Guyana
TGZ	Georgian Airways - Georgia	Tamazi
THA	Thai Airways International Ltd. - Thailand	Thai
THC	Transportes Nacionales Ca - Venezuela (Bolivarian Republic of)	Tranaven
THD	Thai Smile Airways - Thailand	Thai Smile
THF	Touraine Helicoptere - France	Touraine Helico
THK	Turk Hava Kurumu Hava Taksi Isletmesi - Turkey	Hur Kus
THL	Ternhill (RAF) - United Kingdom	Ternhill
THR	Tehran Airline - Iran (Islamic Republic of)	Tehran Air
THS	Tusas Turk Havacilik Ve Uzay Sanayi A.S. - Turkey	Tusas
THT	Air Tahiti Nui - France	Tahiti Airlines
THU	Thunder Airlines Ltd - Canada	Air Thunder
THY	Turk Hava Yollari (Turkish Airlines Co.) - Turkey	Turkish
TIA	Trans International Airlines - United States	Trans International
TIB	TRIP, Transporte Aereo Regional do Interio Paulista Ltda. - Brazil	Trip
TIC	Transportes Aereos Costarricenses - Costa Rica	Tac Airlines
TIE	Time Air - Czech Republic	Time Air
TIG	Tiger Helicopters Ltd - United Kingdom	Tigris
TIH	S.C.Ion Tiriac S.A. - Romania	Tiriac Air
TIL	Tajikistan International Airlines - Tajikistan	Til
TIM	Team Transportes Aereos - Brazil	Team Brasil
TIN	Air Tindi Ltd. - Canada	Tindi
TIP	C and M Aviation (Butte, MT) - United States	Transpac
TIR	Antair, S.A. de C.V. - Mexico	Antair
TIS	Aviatis - Russian Federation	Aviatis
TIV	Corporate Flight International, DBA Thrive Aviation - United States	Thrive
TIW	Transcarga Intl Airways, C.A. - Venezuela (Bolivarian Republic of)	Tiaca
TIX	Flexflight S.R.L - San Marino	Matrix
TJA	Tapjets Inc - United States	Tapjets
TJB	Tayaran Jet - Bulgaria	Aladin
TJE	Tomzajet, S.A. de C.V. - Mexico	Tomzajet
TJJ	Top Jets Ltd. - Bulgaria	Thunderbolt
TJK	Tajikair - Tajikistan	Tajikair
TJS	Tyrolean Jet Service Nfg. GmbH & Co. KG - Austria	Tyroljet
TJT	Twin Jet - France	Twinjet
TKA	Transliz Aviation (K) Ltd - Kenya	Tourliz
TKK	Aero Ways, Inc. (New Castle, DE) - United States	Tarka
TKM	JM Family Aviation (Ft. Lauderdale, FL) - United States	Tacoma
TKU	Transafric Uganda Limited - Uganda	Ugatrans
TLA	Aereotcla, S.A. de C.V. - Mexico	Aerocla
TLC	Caribbean Express, Inc. (Miami Springs, FL) - United States	Carib-X
TLE	Aero Util, S.A. de C.V. - Mexico	Aeroutil
TLI	TL Aviation GmbH - Germany	Spirit
TLK	Starlink Aviation - Canada	Starlink
